 ros2 run motor_control_ros2 delta_arm_manager_node

[INFO] [1783232066.814016293] [delta_arm_manager]: 配置加载完成: kp=0.75 kd=0.25 max_vel=10.00 max_accel=50.0 p_gain=25.0 landing_torque=-0.00 gravity_comp=0.800 tilt=[arm_tilt_motor down=1.600]
[INFO] [1783232066.815448319] [delta_arm_manager]: delta_arm_manager 启动，控制频率 200.0 Hz，电机: [arm_delta_motor_1,arm_delta_motor_2, arm_delta_motor_3]
[INFO] [1783232066.815467448] [delta_arm_manager]: 状态：初始化 → 进入软着陆流程
[INFO] [1783232066.818210621] [delta_arm_manager]: 俯仰零点锁定：原始角 0.421 rad，此后 ready=0.000 down=1.600 均为相对角
[INFO] [1783232066.820538786] [delta_arm_manager]: 初始化 → 软着陆：施加向下力矩 -0.00 Nm，阻尼 kd=0.050
[INFO] [1783232066.820586777] [delta_arm_manager]: LANDING_CSV,t,cmd_tq,landing_kd,m1_pos,m1_vel,m2_pos,m2_vel,m3_pos,m3_vel,tilt_pos,tilt_vel
[INFO] [1783232067.505516509] [delta_arm_manager]: LANDING_CSV,0.6849,-0.000,0.050,0.7299,0.000,0.4061,0.000,0.4734,-0.062,0.4213,-0.058
[INFO] [1783232067.510531155] [delta_arm_manager]: LANDING_CSV,0.6899,-0.000,0.050,0.7299,-0.120,0.4061,-0.066,0.4734,0.000,0.4214,0.004
[INFO] [1783232067.515549633] [delta_arm_manager]: LANDING_CSV,0.6949,-0.000,0.050,0.7299,-0.120,0.4061,-0.066,0.4734,0.000,0.4214,0.004
[INFO] [1783232067.520545533] [delta_arm_manager]: LANDING_CSV,0.6999,-0.000,0.050,0.7299,-0.120,0.4061,-0.066,0.4734,0.000,0.4214,0.004
[INFO] [1783232067.525526289] [delta_arm_manager]: LANDING_CSV,0.7049,-0.000,0.050,0.7299,0.000,0.4061,0.000,0.4734,-0.058,0.4214,0.000
[INFO] [1783232067.530552422] [delta_arm_manager]: LANDING_CSV,0.7099,-0.000,0.050,0.7299,0.000,0.4061,0.000,0.4734,-0.058,0.4214,0.000
[INFO] [1783232067.535533954] [delta_arm_manager]: LANDING_CSV,0.7149,-0.000,0.050,0.7299,0.000,0.4061,0.000,0.4734,-0.058,0.4214,0.000
[INFO] [1783232067.540534019] [delta_arm_manager]: LANDING_CSV,0.7199,-0.000,0.050,0.7299,0.000,0.4061,0.000,0.4734,-0.058,0.4213,-0.058
[INFO] [1783232067.545558456] [delta_arm_manager]: LANDING_CSV,0.7249,-0.000,0.050,0.7299,0.000,0.4061,0.000,0.4734,-0.058,0.4213,-0.058
[INFO] [1783232067.550575771] [delta_arm_manager]: LANDING_CSV,0.7300,-0.000,0.050,0.7299,0.000,0.4061,0.000,0.4734,-0.058,0.4213,-0.058
[INFO] [1783232067.555510156] [delta_arm_manager]: LANDING_CSV,0.7349,-0.000,0.050,0.7299,0.000,0.4060,-0.058,0.4734,-0.058,0.4213,-0.058
[INFO] [1783232067.560501331] [delta_arm_manager]: LANDING_CSV,0.7399,-0.000,0.050,0.7299,0.000,0.4060,-0.058,0.4734,-0.058,0.4213,-0.058
[INFO] [1783232067.565510831] [delta_arm_manager]: LANDING_CSV,0.7449,-0.000,0.050,0.7299,0.000,0.4060,-0.058,0.4734,-0.058,0.4213,-0.058
[INFO] [1783232067.570515937] [delta_arm_manager]: LANDING_CSV,0.7499,-0.000,0.050,0.7299,0.000,0.4060,-0.058,0.4734,-0.039,0.4213,-0.058
[INFO] [1783232067.575490248] [delta_arm_manager]: LANDING_CSV,0.7549,-0.000,0.050,0.7299,-0.043,0.4061,-0.004,0.4734,-0.039,0.4214,0.004
[INFO] [1783232067.580485295] [delta_arm_manager]: LANDING_CSV,0.7599,-0.000,0.050,0.7299,-0.043,0.4061,-0.004,0.4734,-0.039,0.4214,0.004
[INFO] [1783232067.585511369] [delta_arm_manager]: LANDING_CSV,0.7649,-0.000,0.050,0.7299,-0.043,0.4061,-0.004,0.4734,-0.039,0.4214,0.004
[INFO] [1783232067.590569471] [delta_arm_manager]: LANDING_CSV,0.7699,-0.000,0.050,0.7299,-0.058,0.4061,-0.004,0.4734,0.000,0.4214,0.000
[INFO] [1783232067.595491868] [delta_arm_manager]: LANDING_CSV,0.7749,-0.000,0.050,0.7299,-0.058,0.4061,-0.004,0.4734,0.000,0.4214,0.000
[INFO] [1783232067.600462950] [delta_arm_manager]: LANDING_CSV,0.7799,-0.000,0.050,0.7299,-0.058,0.4061,-0.004,0.4734,0.000,0.4214,0.000
[INFO] [1783232067.605482999] [delta_arm_manager]: LANDING_CSV,0.7849,-0.000,0.050,0.7299,0.000,0.4060,-0.066,0.4734,-0.047,0.4214,0.012
[INFO] [1783232067.610500378] [delta_arm_manager]: LANDING_CSV,0.7899,-0.000,0.050,0.7299,0.000,0.4060,-0.066,0.4734,-0.047,0.4214,0.012
[INFO] [1783232067.615464902] [delta_arm_manager]: LANDING_CSV,0.7949,-0.000,0.050,0.7299,0.000,0.4060,-0.066,0.4734,-0.047,0.4214,0.012
[INFO] [1783232067.620474610] [delta_arm_manager]: LANDING_CSV,0.7999,-0.000,0.050,0.7299,-0.008,0.4061,0.000,0.4735,0.047,0.4213,-0.070
[INFO] [1783232067.625490015] [delta_arm_manager]: LANDING_CSV,0.8049,-0.000,0.050,0.7299,-0.008,0.4061,0.000,0.4735,0.047,0.4213,-0.070
[INFO] [1783232067.630481615] [delta_arm_manager]: LANDING_CSV,0.8099,-0.000,0.050,0.7299,-0.008,0.4061,0.000,0.4735,0.047,0.4213,-0.070
[INFO] [1783232067.630518150] [delta_arm_manager]: 软着陆完成（稳定 0.80 s），软着陆 → 就绪
[INFO] [1783232067.630549472] [delta_arm_manager]: 发布 /delta_arm/ready: READY
[INFO] [1783232079.829169386] [delta_arm_manager]: 就绪 → 上抛：目标增量 [1.200, 1.200, 1.200] rad，估算高度 0.363 m，下落时间 0.544 s
[INFO] [1783232080.164861991] [delta_arm_manager]: 三路撞停顶部限位对齐 → 快速收拍
[INFO] [1783232080.164973266] [delta_arm_manager]: 进入快速收拍：三路电机回零点，估算高度 0.363 m，下落时间 0.544 s
[INFO] [1783232080.165019128] [delta_arm_manager]: RETRACT_CSV,t,m1_pd,m1_ad,m1_terr,m1_pv,m1_av,m2_pd,m2_ad,m2_terr,m2_pv,m2_av,m3_pd,m3_ad,m3_terr,m3_pv,m3_av,tilt_cmd,tilt_pos,tilt_vel
[INFO] [1783232080.169785968] [delta_arm_manager]: RETRACT_CSV,0.0048,1.7004,1.6766,0.0238,-0.400,-0.050,1.7004,1.7001,0.0003,-0.400,0.268,1.7004,1.7024,-0.0020,-0.400,-0.143,0.0010,0.0014,0.054
[INFO] [1783232080.174706255] [delta_arm_manager]: RETRACT_CSV,0.0097,1.6964,1.6766,0.0198,-0.800,-0.050,1.6964,1.7001,-0.0037,-0.800,0.268,1.6964,1.7024,-0.0060,-0.800,-0.143,0.0030,0.0014,0.054
[INFO] [1783232080.179635730] [delta_arm_manager]: RETRACT_CSV,0.0147,1.6904,1.6769,0.0134,-1.200,-0.016,1.6904,1.7010,-0.0107,-1.200,0.143,1.6904,1.7031,-0.0128,-1.200,0.078,0.0060,0.0013,-0.031
[INFO] [1783232080.184585291] [delta_arm_manager]: RETRACT_CSV,0.0196,1.6824,1.6769,0.0054,-1.600,-0.016,1.6824,1.7010,-0.0187,-1.600,0.143,1.6824,1.7031,-0.0208,-1.600,0.078,0.0100,0.0013,-0.031
[INFO] [1783232080.189588776] [delta_arm_manager]: RETRACT_CSV,0.0246,1.6724,1.6769,-0.0046,-2.000,-0.016,1.6724,1.7010,-0.0287,-2.000,0.143,1.6724,1.7031,-0.0308,-2.000,0.078,0.0150,0.0013,-0.031
[INFO] [1783232080.194610663] [delta_arm_manager]: RETRACT_CSV,0.0296,1.6604,1.6775,-0.0171,-2.400,0.097,1.6604,1.7012,-0.0408,-2.400,0.016,1.6604,1.7035,-0.0431,-2.400,0.039,0.0210,0.0013,-0.019
[INFO] [1783232080.199633083] [delta_arm_manager]: RETRACT_CSV,0.0347,1.6464,1.6775,-0.0311,-2.800,0.097,1.6464,1.7012,-0.0548,-2.800,0.016,1.6464,1.7035,-0.0571,-2.800,0.039,0.0280,0.0013,-0.019
[INFO] [1783232080.204592302] [delta_arm_manager]: RETRACT_CSV,0.0396,1.6304,1.6775,-0.0471,-3.200,0.097,1.6304,1.7012,-0.0708,-3.200,0.016,1.6304,1.7035,-0.0731,-3.200,0.039,0.0360,0.0013,-0.019
[INFO] [1783232080.209600053] [delta_arm_manager]: RETRACT_CSV,0.0446,1.6124,1.6553,-0.0430,-3.600,-0.810,1.6124,1.6754,-0.0630,-3.600,-0.989,1.6124,1.6769,-0.0645,-3.600,-1.051,0.0450,0.0111,0.609
[INFO] [1783232080.214621486] [delta_arm_manager]: RETRACT_CSV,0.0496,1.5924,1.6553,-0.0630,-4.000,-0.810,1.5924,1.6754,-0.0830,-4.000,-0.989,1.5924,1.6769,-0.0845,-4.000,-1.051,0.0550,0.0111,0.609
[INFO] [1783232080.219700956] [delta_arm_manager]: RETRACT_CSV,0.0547,1.5704,1.6553,-0.0850,-4.400,-0.810,1.5704,1.6754,-0.1050,-4.400,-0.989,1.5704,1.6769,-0.1065,-4.400,-1.051,0.0660,0.0111,0.609
[INFO] [1783232080.224662560] [delta_arm_manager]: RETRACT_CSV,0.0597,1.5464,1.6553,-0.1090,-4.800,-0.810,1.5464,1.6754,-0.1290,-4.800,-0.989,1.5464,1.6769,-0.1305,-4.800,-1.051,0.0780,0.0111,0.609
[INFO] [1783232080.229687905] [delta_arm_manager]: RETRACT_CSV,0.0647,1.5204,1.6209,-0.1006,-5.200,-1.958,1.5204,1.6389,-0.1185,-5.200,-2.198,1.5204,1.6398,-0.1194,-5.200,-2.268,0.0910,0.0326,0.880
[INFO] [1783232080.234667329] [delta_arm_manager]: RETRACT_CSV,0.0697,1.4924,1.6209,-0.1286,-5.600,-1.958,1.4924,1.6389,-0.1465,-5.600,-2.198,1.4924,1.6398,-0.1474,-5.600,-2.268,0.1050,0.0326,0.880
[INFO] [1783232080.239657410] [delta_arm_manager]: RETRACT_CSV,0.0747,1.4624,1.6209,-0.1586,-6.000,-1.958,1.4624,1.6389,-0.1765,-6.000,-2.198,1.4624,1.6398,-0.1774,-6.000,-2.268,0.1200,0.0326,0.880
[INFO] [1783232080.244638381] [delta_arm_manager]: RETRACT_CSV,0.0797,1.4304,1.5698,-0.1394,-6.400,-3.455,1.4304,1.5849,-0.1545,-6.400,-3.121,1.4304,1.5854,-0.1550,-6.400,-3.350,0.1360,0.0638,1.869
[INFO] [1783232080.249642631] [delta_arm_manager]: RETRACT_CSV,0.0847,1.3964,1.5698,-0.1734,-6.800,-3.455,1.3964,1.5849,-0.1885,-6.800,-3.121,1.3964,1.5854,-0.1890,-6.800,-3.350,0.1530,0.0638,1.869
[INFO] [1783232080.254656213] [delta_arm_manager]: RETRACT_CSV,0.0897,1.3604,1.5698,-0.2094,-7.200,-3.455,1.3604,1.5849,-0.2245,-7.200,-3.121,1.3604,1.5854,-0.2250,-7.200,-3.350,0.1710,0.0638,1.869
[INFO] [1783232080.259717271] [delta_arm_manager]: RETRACT_CSV,0.0947,1.3224,1.4994,-0.1771,-7.600,-4.250,1.3224,1.5127,-0.1903,-7.600,-4.273,1.3224,1.5132,-0.1908,-7.600,-4.164,0.1900,0.1039,2.233
[INFO] [1783232080.264696742] [delta_arm_manager]: RETRACT_CSV,0.0997,1.2824,1.4994,-0.2171,-8.000,-4.250,1.2824,1.5127,-0.2303,-8.000,-4.273,1.2824,1.5132,-0.2308,-8.000,-4.164,0.2100,0.1039,2.233
[INFO] [1783232080.269631013] [delta_arm_manager]: RETRACT_CSV,0.1047,1.2404,1.4994,-0.2591,-8.400,-4.250,1.2404,1.5127,-0.2723,-8.400,-4.273,1.2404,1.5132,-0.2728,-8.400,-4.164,0.2310,0.1039,2.233
[INFO] [1783232080.274680653] [delta_arm_manager]: RETRACT_CSV,0.1097,1.1964,1.4104,-0.2140,-8.800,-5.452,1.1964,1.4236,-0.2273,-8.800,-5.397,1.1964,1.4241,-0.2278,-8.800,-5.331,0.2530,0.1527,2.792
[INFO] [1783232080.279771527] [delta_arm_manager]: RETRACT_CSV,0.1148,1.1504,1.4104,-0.2600,-9.200,-5.452,1.1504,1.4236,-0.2733,-9.200,-5.397,1.1504,1.4241,-0.2738,-9.200,-5.331,0.2760,0.1527,2.792
[INFO] [1783232080.284740937] [delta_arm_manager]: RETRACT_CSV,0.1198,1.1024,1.4104,-0.3080,-9.600,-5.452,1.1024,1.4236,-0.3213,-9.600,-5.397,1.1024,1.4241,-0.3218,-9.600,-5.331,0.3000,0.1527,2.792
[INFO] [1783232080.289611924] [delta_arm_manager]: RETRACT_CSV,0.1246,1.0524,1.3027,-0.2503,-10.000,-6.274,1.0524,1.3160,-0.2636,-10.000,-6.460,1.0524,1.3159,-0.2635,-10.000,-6.436,0.3250,0.2109,3.234
[INFO] [1783232080.294596648] [delta_arm_manager]: RETRACT_CSV,0.1296,1.0004,1.3027,-0.3023,-10.400,-6.274,1.0004,1.3160,-0.3156,-10.400,-6.460,1.0004,1.3159,-0.3155,-10.400,-6.436,0.3510,0.2109,3.234
[INFO] [1783232080.299637954] [delta_arm_manager]: RETRACT_CSV,0.1347,0.9464,1.3027,-0.3563,-10.800,-6.274,0.9464,1.3160,-0.3696,-10.800,-6.460,0.9464,1.3159,-0.3695,-10.800,-6.436,0.3780,0.2109,3.234
[INFO] [1783232080.304622056] [delta_arm_manager]: RETRACT_CSV,0.1396,0.8904,1.3027,-0.4123,-11.200,-6.274,0.8904,1.3160,-0.4256,-11.200,-6.460,0.8904,1.3159,-0.4255,-11.200,-6.436,0.4060,0.2828,3.765
[INFO] [1783232080.309643570] [delta_arm_manager]: RETRACT_CSV,0.1447,0.8324,1.1661,-0.3338,-11.600,-7.875,0.8324,1.1797,-0.3474,-11.600,-8.511,0.8324,1.1782,-0.3458,-11.600,-8.100,0.4350,0.2828,3.765
[INFO] [1783232080.314645983] [delta_arm_manager]: RETRACT_CSV,0.1497,0.7724,1.1661,-0.3938,-12.000,-7.875,0.7724,1.1797,-0.4074,-12.000,-8.511,0.7724,1.1782,-0.4058,-12.000,-8.100,0.4650,0.2828,3.765
[INFO] [1783232080.319638576] [delta_arm_manager]: RETRACT_CSV,0.1547,0.7124,1.1661,-0.4538,-12.000,-7.875,0.7124,1.1797,-0.4674,-12.000,-8.511,0.7124,1.1782,-0.4658,-12.000,-8.100,0.4950,0.2828,3.765
[INFO] [1783232080.324600753] [delta_arm_manager]: RETRACT_CSV,0.1596,0.6524,1.0112,-0.3588,-12.000,-9.313,0.6524,1.0241,-0.3717,-12.000,-9.492,0.6524,1.0230,-0.3706,-12.000,-9.627,0.5250,0.3640,4.754
[INFO] [1783232080.329572803] [delta_arm_manager]: RETRACT_CSV,0.1646,0.5924,1.0112,-0.4188,-12.000,-9.313,0.5924,1.0241,-0.4317,-12.000,-9.492,0.5924,1.0230,-0.4306,-12.000,-9.627,0.5550,0.3640,4.754
[INFO] [1783232080.334551202] [delta_arm_manager]: RETRACT_CSV,0.1696,0.5324,1.0112,-0.4788,-12.000,-9.313,0.5324,1.0241,-0.4917,-12.000,-9.492,0.5324,1.0230,-0.4906,-12.000,-9.627,0.5850,0.3640,4.754
[INFO] [1783232080.339597579] [delta_arm_manager]: RETRACT_CSV,0.1746,0.4724,0.8369,-0.3646,-12.000,-10.333,0.4724,0.8494,-0.3770,-12.000,-10.434,0.4724,0.8490,-0.3766,-12.000,-10.477,0.6150,0.4544,5.223
[INFO] [1783232080.344608431] [delta_arm_manager]: RETRACT_CSV,0.1796,0.4133,0.8369,-0.4236,-11.809,-10.333,0.4133,0.8494,-0.4361,-11.809,-10.434,0.4133,0.8490,-0.4357,-11.809,-10.477,0.6450,0.4544,5.223
[INFO] [1783232080.349591654] [delta_arm_manager]: RETRACT_CSV,0.1846,0.3563,0.8369,-0.4807,-11.409,-10.333,0.3563,0.8494,-0.4931,-11.409,-10.434,0.3563,0.8490,-0.4927,-11.409,-10.477,0.6750,0.4544,5.223
[INFO] [1783232080.354616332] [delta_arm_manager]: RETRACT_CSV,0.1896,0.3012,0.6483,-0.3471,-11.009,-11.229,0.3012,0.6575,-0.3563,-11.009,-11.807,0.3012,0.6591,-0.3578,-11.009,-11.039,0.7050,0.5525,5.917
[INFO] [1783232080.359615859] [delta_arm_manager]: RETRACT_CSV,0.1946,0.2482,0.6483,-0.4001,-10.609,-11.229,0.2482,0.6575,-0.4093,-10.609,-11.807,0.2482,0.6591,-0.4109,-10.609,-11.039,0.7350,0.5525,5.917
[INFO] [1783232080.364616134] [delta_arm_manager]: RETRACT_CSV,0.1996,0.1971,0.6483,-0.4512,-10.209,-11.229,0.1971,0.6575,-0.4604,-10.209,-11.807,0.1971,0.6591,-0.4619,-10.209,-11.039,0.7650,0.5525,5.917
[INFO] [1783232080.369631316] [delta_arm_manager]: RETRACT_CSV,0.2047,0.1481,0.4558,-0.3077,-9.809,-11.101,0.1481,0.4607,-0.3126,-9.809,-12.268,0.1481,0.4638,-0.3157,-9.809,-11.671,0.7950,0.6502,5.715
[INFO] [1783232080.374641538] [delta_arm_manager]: RETRACT_CSV,0.2097,0.1010,0.4558,-0.3548,-9.409,-11.101,0.1010,0.4607,-0.3597,-9.409,-12.268,0.1010,0.4638,-0.3628,-9.409,-11.671,0.8250,0.6502,5.715
[INFO] [1783232080.379644525] [delta_arm_manager]: RETRACT_CSV,0.2147,0.0560,0.4558,-0.3998,-9.009,-11.101,0.0560,0.4607,-0.4047,-9.009,-12.268,0.0560,0.4638,-0.4078,-9.009,-11.671,0.8550,0.6502,5.715
[INFO] [1783232080.384680633] [delta_arm_manager]: RETRACT_CSV,0.2197,0.0130,0.4558,-0.4429,-8.609,-11.101,0.0130,0.4607,-0.4478,-8.609,-12.268,0.0130,0.4638,-0.4508,-8.609,-11.671,0.8850,0.7501,5.987
[INFO] [1783232080.389650899] [delta_arm_manager]: RETRACT_CSV,0.2247,0.0000,0.2638,-0.2638,0.000,-10.868,0.0000,0.2628,-0.2628,0.000,-11.004,0.0000,0.2714,-0.2714,0.000,-11.551,0.9150,0.7501,5.987
[INFO] [1783232080.394822736] [delta_arm_manager]: RETRACT_CSV,0.2298,0.0000,0.2638,-0.2638,0.000,-10.868,0.0000,0.2628,-0.2628,0.000,-11.004,0.0000,0.2714,-0.2714,0.000,-11.551,0.9450,0.7501,5.987
[INFO] [1783232080.399841191] [delta_arm_manager]: RETRACT_CSV,0.2349,0.0000,0.2638,-0.2638,0.000,-10.868,0.0000,0.2628,-0.2628,0.000,-11.004,0.0000,0.2714,-0.2714,0.000,-11.551,0.9750,0.7501,5.987
[INFO] [1783232080.404760747] [delta_arm_manager]: RETRACT_CSV,0.2398,0.0000,0.0946,-0.0946,0.000,-9.942,0.0000,0.0892,-0.0892,0.000,-10.496,0.0000,0.1005,-0.1005,0.000,-10.329,1.0050,0.8487,5.832
[INFO] [1783232080.409750057] [delta_arm_manager]: RETRACT_CSV,0.2448,0.0000,0.0946,-0.0946,0.000,-9.942,0.0000,0.0892,-0.0892,0.000,-10.496,0.0000,0.1005,-0.1005,0.000,-10.329,1.0350,0.8487,5.832
[INFO] [1783232080.414761300] [delta_arm_manager]: RETRACT_CSV,0.2498,0.0000,0.0946,-0.0946,0.000,-9.942,0.0000,0.0892,-0.0892,0.000,-10.496,0.0000,0.1005,-0.1005,0.000,-10.329,1.0650,0.8487,5.832
[INFO] [1783232080.419774251] [delta_arm_manager]: RETRACT_CSV,0.2548,0.0000,-0.0227,0.0227,0.000,-0.458,0.0000,-0.0489,0.0489,0.000,-5.552,0.0000,-0.0331,0.0331,0.000,-3.885,1.0950,0.9456,5.750
[INFO] [1783232080.419873482] [delta_arm_manager]: 快速收拍 → 俯仰下压：已回零=是 耗时=0.255 s
[INFO] [1783232080.529771540] [delta_arm_manager]: 俯仰下压 → 等待击球：俯仰到位=是 耗时=0.110 s 击球延迟=0.350 s 模型时间=0.544 s
[INFO] [1783232080.539636955] [delta_arm_manager]: 已触发 /serve/trigger，等待 0.050 s 后恢复就绪
[INFO] [1783232080.604553424] [delta_arm_manager]: 发布 /delta_arm/ready: READY
[INFO] [1783232097.688161992] [delta_arm_manager]: 就绪 → 上抛：目标增量 [1.400, 1.400, 1.400] rad，估算高度 0.384 m，下落时间 0.560 s
[INFO] [1783232097.999363232] [delta_arm_manager]: 三路撞停顶部限位对齐 → 快速收拍
[INFO] [1783232097.999443610] [delta_arm_manager]: 进入快速收拍：三路电机回零点，估算高度 0.384 m，下落时间 0.560 s
[INFO] [1783232097.999469976] [delta_arm_manager]: RETRACT_CSV,t,m1_pd,m1_ad,m1_terr,m1_pv,m1_av,m2_pd,m2_ad,m2_terr,m2_pv,m2_av,m3_pd,m3_ad,m3_terr,m3_pv,m3_av,tilt_cmd,tilt_pos,tilt_vel
[INFO] [1783232098.004356213] [delta_arm_manager]: RETRACT_CSV,0.0049,1.7059,1.6864,0.0195,-0.400,-0.023,1.7059,1.7076,-0.0017,-0.400,-0.384,1.7059,1.7079,-0.0020,-0.400,-0.283,0.0010,0.0473,-0.093
[INFO] [1783232098.009312453] [delta_arm_manager]: RETRACT_CSV,0.0099,1.7019,1.6864,0.0155,-0.800,-0.023,1.7019,1.7076,-0.0057,-0.800,-0.384,1.7019,1.7079,-0.0060,-0.800,-0.283,0.0030,0.0473,-0.093
[INFO] [1783232098.014323699] [delta_arm_manager]: RETRACT_CSV,0.0149,1.6959,1.6864,0.0095,-1.200,-0.023,1.6959,1.7076,-0.0117,-1.200,-0.384,1.6959,1.7079,-0.0120,-1.200,-0.283,0.0060,0.0473,-0.093
[INFO] [1783232098.019305875] [delta_arm_manager]: RETRACT_CSV,0.0199,1.6879,1.6870,0.0009,-1.600,0.050,1.6879,1.7085,-0.0206,-1.600,0.047,1.6879,1.7089,-0.0210,-1.600,0.089,0.0100,0.0465,-0.035
[INFO] [1783232098.024338065] [delta_arm_manager]: RETRACT_CSV,0.0249,1.6779,1.6870,-0.0091,-2.000,0.050,1.6779,1.7085,-0.0306,-2.000,0.047,1.6779,1.7089,-0.0310,-2.000,0.089,0.0150,0.0465,-0.035
[INFO] [1783232098.029360525] [delta_arm_manager]: RETRACT_CSV,0.0299,1.6659,1.6870,-0.0211,-2.400,0.050,1.6659,1.7085,-0.0426,-2.400,0.047,1.6659,1.7089,-0.0430,-2.400,0.089,0.0210,0.0465,-0.035
[INFO] [1783232098.034314082] [delta_arm_manager]: RETRACT_CSV,0.0349,1.6519,1.6880,-0.0361,-2.800,0.043,1.6519,1.7096,-0.0577,-2.800,0.178,1.6519,1.7088,-0.0569,-2.800,0.050,0.0280,0.0453,-0.112
[INFO] [1783232098.039304587] [delta_arm_manager]: RETRACT_CSV,0.0399,1.6359,1.6880,-0.0521,-3.200,0.043,1.6359,1.7096,-0.0737,-3.200,0.178,1.6359,1.7088,-0.0729,-3.200,0.050,0.0360,0.0453,-0.112
[INFO] [1783232098.044261892] [delta_arm_manager]: RETRACT_CSV,0.0448,1.6179,1.6880,-0.0701,-3.600,0.043,1.6179,1.7096,-0.0917,-3.600,0.178,1.6179,1.7088,-0.0909,-3.600,0.050,0.0450,0.0453,-0.112
[INFO] [1783232098.049431862] [delta_arm_manager]: RETRACT_CSV,0.0500,1.5979,1.6589,-0.0610,-4.000,-1.225,1.5979,1.6793,-0.0814,-4.000,-1.109,1.5979,1.6793,-0.0814,-4.000,-1.245,0.0550,0.0564,0.710
[INFO] [1783232098.054364180] [delta_arm_manager]: RETRACT_CSV,0.0549,1.5759,1.6589,-0.0830,-4.400,-1.225,1.5759,1.6793,-0.1034,-4.400,-1.109,1.5759,1.6793,-0.1034,-4.400,-1.245,0.0660,0.0564,0.710
[INFO] [1783232098.059439685] [delta_arm_manager]: RETRACT_CSV,0.0600,1.5519,1.6589,-0.1070,-4.800,-1.225,1.5519,1.6793,-0.1274,-4.800,-1.109,1.5519,1.6793,-0.1274,-4.800,-1.245,0.0780,0.0564,0.710
[INFO] [1783232098.064352446] [delta_arm_manager]: RETRACT_CSV,0.0649,1.5259,1.6256,-0.0997,-5.200,-1.985,1.5259,1.6429,-0.1171,-5.200,-2.071,1.5259,1.6437,-0.1178,-5.200,-2.171,0.0910,0.0759,1.105
[INFO] [1783232098.069384451] [delta_arm_manager]: RETRACT_CSV,0.0699,1.4979,1.6256,-0.1277,-5.600,-1.985,1.4979,1.6429,-0.1451,-5.600,-2.071,1.4979,1.6437,-0.1458,-5.600,-2.171,0.1050,0.0759,1.105
[INFO] [1783232098.074336531] [delta_arm_manager]: RETRACT_CSV,0.0749,1.4679,1.6256,-0.1577,-6.000,-1.985,1.4679,1.6429,-0.1751,-6.000,-2.071,1.4679,1.6437,-0.1758,-6.000,-2.171,0.1200,0.0759,1.105
[INFO] [1783232098.079409555] [delta_arm_manager]: RETRACT_CSV,0.0800,1.4359,1.5669,-0.1310,-6.400,-3.734,1.4359,1.5811,-0.1452,-6.400,-3.761,1.4359,1.5817,-0.1458,-6.400,-3.796,0.1360,0.1038,1.745
[INFO] [1783232098.084355907] [delta_arm_manager]: RETRACT_CSV,0.0849,1.4019,1.5669,-0.1650,-6.800,-3.734,1.4019,1.5811,-0.1792,-6.800,-3.761,1.4019,1.5817,-0.1798,-6.800,-3.796,0.1530,0.1038,1.745
[INFO] [1783232098.089384532] [delta_arm_manager]: RETRACT_CSV,0.0899,1.3659,1.5669,-0.2010,-7.200,-3.734,1.3659,1.5811,-0.2152,-7.200,-3.761,1.3659,1.5817,-0.2158,-7.200,-3.796,0.1710,0.1038,1.745
[INFO] [1783232098.094372686] [delta_arm_manager]: RETRACT_CSV,0.0949,1.3279,1.5669,-0.2390,-7.600,-3.734,1.3279,1.5811,-0.2532,-7.600,-3.761,1.3279,1.5817,-0.2538,-7.600,-3.796,0.1900,0.1038,1.745
[INFO] [1783232098.099359858] [delta_arm_manager]: RETRACT_CSV,0.0999,1.2879,1.4880,-0.2001,-8.000,-4.633,1.2879,1.5008,-0.2130,-8.000,-4.874,1.2879,1.5018,-0.2140,-8.000,-4.734,0.2100,0.1453,2.427
[INFO] [1783232098.104407865] [delta_arm_manager]: RETRACT_CSV,0.1050,1.2459,1.4880,-0.2421,-8.400,-4.633,1.2459,1.5008,-0.2550,-8.400,-4.874,1.2459,1.5018,-0.2560,-8.400,-4.734,0.2310,0.1453,2.427
[INFO] [1783232098.109370315] [delta_arm_manager]: RETRACT_CSV,0.1099,1.2019,1.4880,-0.2861,-8.800,-4.633,1.2019,1.5008,-0.2990,-8.800,-4.874,1.2019,1.5018,-0.3000,-8.800,-4.734,0.2530,0.1453,2.427
[INFO] [1783232098.114365028] [delta_arm_manager]: RETRACT_CSV,0.1149,1.1559,1.3917,-0.2358,-9.200,-5.835,1.1559,1.4036,-0.2477,-9.200,-5.956,1.1559,1.4036,-0.2477,-9.200,-5.963,0.2760,0.1954,2.986
[INFO] [1783232098.119393973] [delta_arm_manager]: RETRACT_CSV,0.1199,1.1079,1.3917,-0.2838,-9.600,-5.835,1.1079,1.4036,-0.2957,-9.600,-5.956,1.1079,1.4036,-0.2957,-9.600,-5.963,0.3000,0.1954,2.986
[INFO] [1783232098.124373026] [delta_arm_manager]: RETRACT_CSV,0.1249,1.0579,1.3917,-0.3338,-10.000,-5.835,1.0579,1.4036,-0.3457,-10.000,-5.956,1.0579,1.4036,-0.3457,-10.000,-5.963,0.3250,0.1954,2.986
[INFO] [1783232098.129449104] [delta_arm_manager]: RETRACT_CSV,0.1300,1.0059,1.2776,-0.2717,-10.400,-6.937,1.0059,1.2886,-0.2828,-10.400,-6.933,1.0059,1.2863,-0.2804,-10.400,-7.026,0.3510,0.2543,3.501
