 ros2 run motor_control_ros2 delta_arm_manager_node

[INFO] [1783232066.814016293] [delta_arm_manager]: 配置加载完成: kp=0.75 kd=0.25 max_vel=10.00 max_accel=50.0 p_gain=25.0 landing_torque=-0.00 gravity_comp=0.800 tilt=[arm_tilt_motor down=1.600]
[INFO] [1783232066.815448319] [delta_arm_manager]: delta_arm_manager 启动，控制频率 200.0 Hz，电机: [arm_delta_motor_1,arm_delta_motor_2, arm_delta_motor_3]
[INFO] [1783232066.815467448] [delta_arm_manager]: 状态：初始化 → 进入软着陆流程
[INFO] [1783232066.818210621] [delta_arm_manager]: 俯仰零点锁定：原始角 0.421 rad，此后 ready=0.000 down=1.600 均为相对角
[INFO] [1783232066.820538786] [delta_arm_manager]: 初始化 → 软着陆：施加向下力矩 -0.00 Nm，阻尼 kd=0.050
[INFO] [1783232066.820586777] [delta_arm_manager]: LANDING_CSV,t,cmd_tq,landing_kd,m1_pos,m1_vel,m2_pos,m2_vel,m3_pos,m3_vel,tilt_pos,tilt_vel
[INFO] [1783232066.975588909] [delta_arm_manager]: LANDING_CSV,0.1550,-0.000,0.050,0.7299,0.000,0.4061,-0.012,0.4734,0.000,0.4214,-0.027
[INFO] [1783232066.980573796] [delta_arm_manager]: LANDING_CSV,0.1600,-0.000,0.050,0.7299,0.000,0.4061,0.000,0.4734,-0.047,0.4214,-0.027
[INFO] [1783232066.985684203] [delta_arm_manager]: LANDING_CSV,0.1651,-0.000,0.050,0.7299,0.000,0.4061,0.000,0.4734,-0.047,0.4214,-0.027
[INFO] [1783232066.990698372] [delta_arm_manager]: LANDING_CSV,0.1701,-0.000,0.050,0.7299,0.000,0.4061,0.000,0.4734,-0.047,0.4214,-0.027
[INFO] [1783232066.995607832] [delta_arm_manager]: LANDING_CSV,0.1750,-0.000,0.050,0.7299,0.016,0.4061,-0.004,0.4734,0.000,0.4213,-0.070
[INFO] [1783232067.000569064] [delta_arm_manager]: LANDING_CSV,0.1800,-0.000,0.050,0.7299,0.016,0.4061,-0.004,0.4734,0.000,0.4213,-0.070
[INFO] [1783232067.005597804] [delta_arm_manager]: LANDING_CSV,0.1850,-0.000,0.050,0.7299,0.016,0.4061,-0.004,0.4734,0.000,0.4213,-0.070
[INFO] [1783232067.010580721] [delta_arm_manager]: LANDING_CSV,0.1900,-0.000,0.050,0.7299,0.016,0.4061,-0.004,0.4734,0.000,0.4213,-0.070
[INFO] [1783232067.015521635] [delta_arm_manager]: LANDING_CSV,0.1949,-0.000,0.050,0.7299,-0.058,0.4061,0.043,0.4734,-0.054,0.4214,0.000
[INFO] [1783232067.020571913] [delta_arm_manager]: LANDING_CSV,0.2000,-0.000,0.050,0.7299,-0.058,0.4061,0.043,0.4734,-0.054,0.4214,0.000
[INFO] [1783232067.025550550] [delta_arm_manager]: LANDING_CSV,0.2050,-0.000,0.050,0.7299,-0.058,0.4061,0.043,0.4734,-0.054,0.4214,0.000
[INFO] [1783232067.030563348] [delta_arm_manager]: LANDING_CSV,0.2100,-0.000,0.050,0.7299,0.000,0.4060,-0.058,0.4734,-0.058,0.4214,0.004
[INFO] [1783232067.035531033] [delta_arm_manager]: LANDING_CSV,0.2150,-0.000,0.050,0.7299,0.000,0.4060,-0.058,0.4734,-0.058,0.4214,0.004
[INFO] [1783232067.040538533] [delta_arm_manager]: LANDING_CSV,0.2200,-0.000,0.050,0.7299,0.000,0.4060,-0.058,0.4734,-0.058,0.4214,0.004
[INFO] [1783232067.045523732] [delta_arm_manager]: LANDING_CSV,0.2249,-0.000,0.050,0.7299,-0.058,0.4061,-0.004,0.4734,-0.062,0.4214,0.058
[INFO] [1783232067.050553739] [delta_arm_manager]: LANDING_CSV,0.2300,-0.000,0.050,0.7299,-0.058,0.4061,-0.004,0.4734,-0.062,0.4214,0.058
[INFO] [1783232067.055538829] [delta_arm_manager]: LANDING_CSV,0.2350,-0.000,0.050,0.7299,-0.058,0.4061,-0.004,0.4734,-0.062,0.4214,0.058
[INFO] [1783232067.060610715] [delta_arm_manager]: LANDING_CSV,0.2400,-0.000,0.050,0.7299,-0.058,0.4060,-0.062,0.4734,-0.058,0.4213,-0.039
[INFO] [1783232067.065571011] [delta_arm_manager]: LANDING_CSV,0.2450,-0.000,0.050,0.7299,-0.058,0.4060,-0.062,0.4734,-0.058,0.4213,-0.039
[INFO] [1783232067.070593779] [delta_arm_manager]: LANDING_CSV,0.2500,-0.000,0.050,0.7299,-0.058,0.4060,-0.062,0.4734,-0.058,0.4213,-0.039
[INFO] [1783232067.075569036] [delta_arm_manager]: LANDING_CSV,0.2550,-0.000,0.050,0.7299,0.000,0.4061,-0.019,0.4734,0.008,0.4213,-0.062
[INFO] [1783232067.080548294] [delta_arm_manager]: LANDING_CSV,0.2600,-0.000,0.050,0.7299,0.000,0.4061,-0.019,0.4734,0.008,0.4213,-0.062
[INFO] [1783232067.085547246] [delta_arm_manager]: LANDING_CSV,0.2650,-0.000,0.050,0.7299,0.000,0.4061,-0.019,0.4734,0.008,0.4213,-0.062
[INFO] [1783232067.090545898] [delta_arm_manager]: LANDING_CSV,0.2700,-0.000,0.050,0.7299,0.000,0.4061,-0.019,0.4734,0.008,0.4213,-0.062
[INFO] [1783232067.095581247] [delta_arm_manager]: LANDING_CSV,0.2750,-0.000,0.050,0.7299,0.000,0.4060,-0.085,0.4734,-0.004,0.4214,0.035
[INFO] [1783232067.100536446] [delta_arm_manager]: LANDING_CSV,0.2800,-0.000,0.050,0.7299,0.000,0.4060,-0.085,0.4734,-0.004,0.4214,0.035
[INFO] [1783232067.105545006] [delta_arm_manager]: LANDING_CSV,0.2850,-0.000,0.050,0.7299,0.000,0.4060,-0.085,0.4734,-0.004,0.4214,0.035
[INFO] [1783232067.110543152] [delta_arm_manager]: LANDING_CSV,0.2900,-0.000,0.050,0.7299,-0.058,0.4060,-0.058,0.4734,0.004,0.4214,-0.012
[INFO] [1783232067.115608392] [delta_arm_manager]: LANDING_CSV,0.2950,-0.000,0.050,0.7299,-0.058,0.4060,-0.058,0.4734,0.004,0.4214,-0.012
[INFO] [1783232067.120706103] [delta_arm_manager]: LANDING_CSV,0.3000,-0.000,0.050,0.7299,-0.058,0.4060,-0.058,0.4734,0.004,0.4214,-0.012
[INFO] [1783232067.125584553] [delta_arm_manager]: LANDING_CSV,0.3050,-0.000,0.050,0.7299,0.004,0.4061,0.000,0.4734,-0.004,0.4213,-0.058
[INFO] [1783232067.130550701] [delta_arm_manager]: LANDING_CSV,0.3100,-0.000,0.050,0.7299,0.004,0.4061,0.000,0.4734,-0.004,0.4213,-0.058
[INFO] [1783232067.135599935] [delta_arm_manager]: LANDING_CSV,0.3150,-0.000,0.050,0.7299,0.004,0.4061,0.000,0.4734,-0.004,0.4213,-0.058
[INFO] [1783232067.140599148] [delta_arm_manager]: LANDING_CSV,0.3200,-0.000,0.050,0.7299,0.000,0.4061,0.000,0.4734,-0.050,0.4213,-0.062
[INFO] [1783232067.145517291] [delta_arm_manager]: LANDING_CSV,0.3249,-0.000,0.050,0.7299,0.000,0.4061,0.000,0.4734,-0.050,0.4213,-0.062
[INFO] [1783232067.150522588] [delta_arm_manager]: LANDING_CSV,0.3299,-0.000,0.050,0.7299,0.000,0.4061,0.000,0.4734,-0.050,0.4213,-0.062
[INFO] [1783232067.155529662] [delta_arm_manager]: LANDING_CSV,0.3349,-0.000,0.050,0.7299,-0.062,0.4061,0.000,0.4734,-0.047,0.4213,-0.054
[INFO] [1783232067.160591629] [delta_arm_manager]: LANDING_CSV,0.3400,-0.000,0.050,0.7299,-0.062,0.4061,0.000,0.4734,-0.047,0.4213,-0.054
[INFO] [1783232067.165595657] [delta_arm_manager]: LANDING_CSV,0.3450,-0.000,0.050,0.7299,-0.062,0.4061,0.000,0.4734,-0.047,0.4213,-0.054
[INFO] [1783232067.170611244] [delta_arm_manager]: LANDING_CSV,0.3500,-0.000,0.050,0.7299,-0.062,0.4061,0.000,0.4734,-0.047,0.4213,-0.054
[INFO] [1783232067.175633740] [delta_arm_manager]: LANDING_CSV,0.3550,-0.000,0.050,0.7299,-0.058,0.4061,0.000,0.4734,0.000,0.4214,-0.004
[INFO] [1783232067.180651592] [delta_arm_manager]: LANDING_CSV,0.3600,-0.000,0.050,0.7299,-0.058,0.4061,0.000,0.4734,0.000,0.4214,-0.004
[INFO] [1783232067.185675903] [delta_arm_manager]: LANDING_CSV,0.3650,-0.000,0.050,0.7299,-0.058,0.4061,0.000,0.4734,0.000,0.4214,-0.004
[INFO] [1783232067.190625367] [delta_arm_manager]: LANDING_CSV,0.3700,-0.000,0.050,0.7299,0.000,0.4061,0.004,0.4734,0.000,0.4213,-0.050
[INFO] [1783232067.195637834] [delta_arm_manager]: LANDING_CSV,0.3750,-0.000,0.050,0.7299,0.000,0.4061,0.004,0.4734,0.000,0.4213,-0.050
[INFO] [1783232067.200567672] [delta_arm_manager]: LANDING_CSV,0.3800,-0.000,0.050,0.7299,0.000,0.4061,0.004,0.4734,0.000,0.4213,-0.050
[INFO] [1783232067.205667547] [delta_arm_manager]: LANDING_CSV,0.3850,-0.000,0.050,0.7299,-0.047,0.4060,-0.054,0.4734,-0.004,0.4214,0.054
[INFO] [1783232067.210728794] [delta_arm_manager]: LANDING_CSV,0.3900,-0.000,0.050,0.7299,-0.047,0.4060,-0.054,0.4734,-0.004,0.4214,0.054
[INFO] [1783232067.215754943] [delta_arm_manager]: LANDING_CSV,0.3951,-0.000,0.050,0.7299,-0.047,0.4060,-0.054,0.4734,-0.004,0.4214,0.054
[INFO] [1783232067.220627109] [delta_arm_manager]: LANDING_CSV,0.4000,-0.000,0.050,0.7299,0.000,0.4060,-0.058,0.4734,-0.062,0.4213,-0.078
[INFO] [1783232067.225713176] [delta_arm_manager]: LANDING_CSV,0.4050,-0.000,0.050,0.7299,0.000,0.4060,-0.058,0.4734,-0.062,0.4213,-0.078
[INFO] [1783232067.230577092] [delta_arm_manager]: LANDING_CSV,0.4100,-0.000,0.050,0.7299,0.000,0.4060,-0.058,0.4734,-0.062,0.4213,-0.078
[INFO] [1783232067.235581943] [delta_arm_manager]: LANDING_CSV,0.4150,-0.000,0.050,0.7299,-0.004,0.4061,0.000,0.4734,0.016,0.4214,0.012
[INFO] [1783232067.240595980] [delta_arm_manager]: LANDING_CSV,0.4200,-0.000,0.050,0.7299,-0.004,0.4061,0.000,0.4734,0.016,0.4214,0.012
[INFO] [1783232067.245571773] [delta_arm_manager]: LANDING_CSV,0.4250,-0.000,0.050,0.7299,-0.004,0.4061,0.000,0.4734,0.016,0.4214,0.012
[INFO] [1783232067.250585898] [delta_arm_manager]: LANDING_CSV,0.4300,-0.000,0.050,0.7299,-0.004,0.4061,0.000,0.4734,-0.070,0.4214,-0.008
[INFO] [1783232067.255606332] [delta_arm_manager]: LANDING_CSV,0.4350,-0.000,0.050,0.7299,0.012,0.4061,0.000,0.4734,-0.070,0.4214,-0.008
